N;time;timestd;Comparitions;Std Comparitions;Swaps;Stf Swaps;Sorted;Stable;
10;0.0;0.0;60.0;0.0;10.0;0.0;true;false;
20;0.0;0.0;220.0;0.0;20.0;0.0;true;false;
30;0.0;0.0;480.0;0.0;30.0;0.0;true;false;
40;0.0;0.0;840.0;0.0;40.0;0.0;true;false;
50;0.0;0.0;1300.0;0.0;50.0;0.0;true;false;
100;0.0;0.0;5100.0;0.0;100.0;0.0;true;false;
200;0.0;0.0;20200.0;0.0;200.0;0.0;true;false;
300;0.0;0.0;45300.0;0.0;300.0;0.0;true;false;
400;0.0;0.0;80400.0;0.0;400.0;0.0;true;false;
500;0.0;0.0;125500.0;0.0;500.0;0.0;true;false;
1000;0.20000000000000004;0.4;501000.0;0.0;1000.0;0.0;true;false;
2000;3.1000000000000005;0.3000000000000027;2002000.0;0.0;2000.0;0.0;true;false;
3000;8.0;0.0;4503000.0;0.0;3000.0;0.0;true;false;
4000;14.1;0.30000000000005306;8004000.0;0.0;4000.0;0.0;true;false;
5000;22.55;0.49749371855325514;1.2505E7;0.0;5000.0;0.0;true;false;
10000;91.19999999999999;0.3999999999998181;5.001E7;0.0;10000.0;0.0;true;false;
20000;366.05;2.15580611372237;2.0002E8;0.0;20000.0;0.0;true;false;
30000;823.2;5.591064299377757;4.5003E8;0.0;30000.0;0.0;true;false;
40000;1460.1000000000004;7.9240141342065975;8.0004E8;0.0;40000.0;0.0;true;false;
50000;2278.45;10.965742108973817;1.25005E9;0.0;50000.0;0.0;true;false;
