N;time;timestd;Comparitions;Std Comparitions;Swaps;Stf Swaps;Sorted;Stable;
10;0.0;0.0;25.0;4.909175083453433;17.15;5.284647575761321;true;true;
20;0.0;0.0;103.8;16.132575739788177;86.35;16.395959868211474;true;true;
30;0.0;0.0;231.00000000000003;25.426364270181953;204.15;25.80363346507618;true;true;
40;0.0;0.0;380.90000000000003;39.42194820147777;343.70000000000005;39.753113085643605;true;true;
50;0.0;0.0;598.15;59.044284228027486;550.7500000000001;59.133641017612966;true;true;
100;0.0;0.0;2355.7999999999997;139.97163998467875;2259.2999999999997;140.96989040217645;true;true;
200;0.0;0.0;9052.199999999999;520.7465410351164;8855.599999999995;521.2722321398571;true;true;
300;0.0;0.0;20644.4;930.4175621729817;20347.149999999998;930.6826137304045;true;true;
400;0.0;0.0;35941.7;1081.0044912025287;35544.649999999994;1081.0416862915404;true;true;
500;0.0;0.0;56771.4;1609.5998695327269;56274.350000000006;1610.3152882274057;true;true;
1000;1.0;0.0;223932.75;5645.323860284992;222936.1;5645.158535417707;true;true;
2000;5.200000000000001;0.39999999999999575;899121.6999999998;12660.03775706273;897124.65;12660.101691036789;true;true;
3000;12.0;0.5477225575051765;2024688.7499999998;27013.838338693422;2021691.4500000002;27013.937962588534;true;true;
4000;20.9;0.5385164807135749;3611424.4499999997;43428.41681031431;3607427.3499999996;43428.325002575184;true;true;
5000;33.0;0.632455532033568;5616393.0;46588.42464390464;5611396.000000001;46588.35019385379;true;true;
10000;138.10000000000002;3.207802986468657;2.2526406349999998E7;181943.70875252874;2.251640905E7;181943.56131675834;true;true;
20000;557.1999999999999;12.72242115322568;9.024644914999999E7;418746.8396943433;9.022645245000002E7;418746.9869993096;true;true;
30000;1254.5000000000005;22.014767770720244;2.028562088E8;814261.9417361958;2.0282621154999995E8;814261.9587724825;true;true;
40000;2251.7500000000005;38.81736080671503;3.5940780154999995E8;783589.9645707569;3.5936780429999995E8;783590.0018555622;true;true;
50000;3580.9;86.4100109940942;5.619995619499999E8;1572522.7283368593;5.619495651E8;1572522.6549770276;true;true;
