N;time;timestd;Comparitions;Std Comparitions;Swaps;Stf Swaps;Sorted;Stable;
10;0.0;0.0;22.499999999999996;1.0246950765960763;0.0;0.0;true;true;
20;0.0;0.0;63.04999999999999;1.3955285736956904;0.0;0.0;true;true;
30;0.0;0.0;110.89999999999999;2.567099530599424;0.0;0.0;true;true;
40;0.0;0.0;162.60000000000002;2.8354893757510773;0.0;0.0;true;true;
50;0.0;0.0;219.20000000000005;2.2045407685000415;0.0;0.0;true;true;
100;0.0;0.0;536.7500000000001;4.334454983023852;0.0;0.0;true;true;
200;0.0;0.0;1267.9999999999998;7.280109889296509;0.0;0.0;true;true;
300;0.0;0.0;2069.3999999999996;8.42258867577784;0.0;0.0;true;true;
400;0.0;0.0;2930.0;11.515207336290773;0.0;0.0;true;true;
500;0.0;0.0;3815.45;10.887952057263414;0.0;0.0;true;true;
1000;3.6500000000000004;0.4769696007084682;8629.099999999999;14.01035331483673;0.0;0.0;true;true;
2000;17.75;0.5361902647382016;19240.149999999998;18.050692512048084;0.0;0.0;true;true;
3000;43.24999999999999;2.754541704168004;30637.149999999998;24.926441788272015;0.0;0.0;true;true;
4000;84.25;2.210769096943579;42491.50000000001;35.90194979847791;0.0;0.0;true;true;
5000;150.79999999999998;16.9339894885995;54714.1;37.02688212971699;0.0;0.0;true;true;
10000;804.5;21.197877252212315;119456.7;46.42316232884563;0.0;0.0;true;true;
20000;4570.800000000001;94.78955638672021;258915.8;80.96208994486089;0.0;0.0;true;true;
30000;11236.8;324.9819379596661;405984.45;126.89738944805157;0.0;0.0;true;true;
40000;20703.0;555.5924765509338;557862.25;107.85632799142093;0.0;0.0;true;true;
50000;32449.199999999997;696.5580090704443;713595.2500000001;130.5170003406824;0.0;0.0;true;true;
